id,name,party,sector,country
ul,ursula von der leyen,cdu,politk,deutschland
nr,norbert röttgen,cdu,politik,deutschland
lk,lars klingbeil,spd,politik,deutschland
sw,sahra wagenknecht,linke,politik,deutschland
cs,constanze stelzenmüller,,journalismus,usa
cl,christian lindner,fdp,politik,deutschland
ks,karl schlögel,,historik,deutschland
lm,ljudmyla melnyk,,wissenschaft,ukraine
kd,kristina dunz,,journalismus,deutschland
el,egils levits,,politik,lettland
ab,annalena baerbock,grüne,politik,deutschland
ft,frans timmermans,,politik,deutschland
an,andrij melnyk,,politik,deutschland
al,alexander graf lambsdorff,fdp,politik,deutschland
er,egon ramms,,militär,niederlande
rh,robert habeck,grüne,politik,deutschland
cm,claudia major,,wissenschaft,deutschland
kp,katja petrowskaja,,journalismus,deutschland
rk,roderich kiesewetter,cdu,politik,deutschland
ct,christine lambrecht,spd,politik,deutschland
sb,stefanie babst,,wissenschaft,belgien
ch,christoph heusgen,,politik,deutschland
mw,marina weisband,,journalismus,deutschland
500,500
501,501
502,502
503,503
504,504
spd,spd
cdu,cdu
fdp,fdp
grüne,grüne
linke,linke
